Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,NumMissVals,LogSalePrice,NeighborhoodCountQuartiles,NeighborhoodQuality
11,20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Average,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,Bad/Typical,TA,CBlock,Neutral,TA,No,Rec,906.0,Unf,0.0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,Bad/Typical,5,Typ,0,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,129500,5,11.771436160121729,Q2,Q1
12,60,RL,85.0,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Superb,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Good/Excellent,TA,PConc,Good,TA,No,GLQ,998.0,Unf,0.0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Good/Excellent,11,Typ,2,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,0,7,2006,New,Partial,345000,4,12.751299696013497,Q2,Q4
13,20,RL,,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Average,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,Bad/Typical,TA,CBlock,Neutral,TA,No,ALQ,737.0,Unf,0.0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,Bad/Typical,4,Typ,0,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,144000,6,11.877568578558138,Q2,Q1
14,20,RL,91.0,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Average,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Good/Excellent,TA,PConc,Good,TA,Av,Unf,0.0,Unf,0.0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Good/Excellent,7,Typ,1,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,0,8,2007,New,Partial,279500,4,12.540757571577291,Q4,Q3
15,20,RL,,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Average,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,Bad/Typical,TA,CBlock,Neutral,TA,No,BLQ,733.0,Unf,0.0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,Bad/Typical,5,Typ,1,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,157000,4,11.964001084330445,Q4,Q2
16,45,Other,51.0,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Average,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Bad/Typical,TA,BrkTil,Neutral,TA,No,Unf,0.0,Unf,0.0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,Bad/Typical,5,Typ,0,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,132000,4,11.790557201568507,Q2,Q1
17,20,RL,,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Average,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,Bad/Typical,TA,CBlock,Neutral,TA,No,ALQ,578.0,Unf,0.0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,Bad/Typical,5,Typ,1,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,149000,4,11.911701584927597,Q4,Q2
18,90,RL,72.0,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Bad,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,Bad/Typical,TA,Slab,Bad,No Basement,No Basement,No Basement,0.0,No Basement,0.0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,Bad/Typical,6,Typ,0,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,90000,9,11.407564949312402,Q2,Q1
19,20,RL,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Average,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Bad/Typical,TA,PConc,Neutral,TA,No,GLQ,646.0,Unf,0.0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Good/Excellent,6,Typ,0,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,159000,5,11.976659481202368,Q2,Q2
20,20,RL,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Average,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,Bad/Typical,TA,CBlock,Neutral,TA,No,LwQ,504.0,Unf,0.0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,Bad/Typical,6,Min1,0,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000,4,11.842229212112828,Q4,Q2
21,60,RL,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Superb,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Good/Excellent,TA,PConc,Good,TA,Av,Unf,0.0,Unf,0.0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Good/Excellent,9,Typ,1,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,0,11,2006,New,Partial,325300,4,12.692503112461443,Q2,Q4
22,45,Other,57.0,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Average,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Bad/Typical,TA,PConc,Neutral,TA,No,Unf,0.0,Unf,0.0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Good/Excellent,6,Typ,1,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,0,0,6,2007,WD,Normal,139400,2,11.845102777308561,Q1,Q1
23,20,RL,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Superb,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Good/Excellent,TA,PConc,Good,TA,No,Unf,0.0,Unf,0.0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Good/Excellent,7,Typ,1,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,230000,4,12.345834587905333,Q4,Q3
24,120,Other,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Average,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,Bad/Typical,TA,PConc,Good,TA,No,GLQ,840.0,Unf,0.0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Bad/Typical,6,Typ,1,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,129900,4,11.77452020265869,Q1,Q1
25,20,RL,,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Average,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,Bad/Typical,Gd,CBlock,Neutral,TA,Mn,Rec,188.0,ALQ,668.0,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Good/Excellent,6,Typ,1,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,154000,4,11.944707881395766,Q2,Q1
26,20,RL,110.0,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Superb,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Good/Excellent,TA,PConc,Good,TA,No,Unf,0.0,Unf,0.0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Good/Excellent,7,Typ,1,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,256300,4,12.454103912352162,Q2,Q4
27,20,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Average,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Bad/Typical,TA,CBlock,Neutral,TA,Mn,BLQ,234.0,Rec,486.0,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Good/Excellent,5,Typ,0,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,134800,5,11.811547477460344,Q4,Q2
28,20,RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Superb,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Good/Excellent,TA,PConc,Good,TA,No,GLQ,1218.0,Unf,0.0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Good/Excellent,7,Typ,1,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,306000,4,12.631340380934517,Q2,Q4
29,20,RL,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Average,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,Bad/Typical,TA,CBlock,Neutral,TA,Gd,BLQ,1277.0,Unf,0.0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,Bad/Typical,6,Typ,2,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,207500,4,12.24288661865289,Q4,Q2
30,30,Other,60.0,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Bad,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,Bad/Typical,TA,BrkTil,Neutral,TA,No,Unf,0.0,Unf,0.0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Bad/Typical,4,Typ,0,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,68500,5,11.134589024250317,Q2,Q1
31,70,Other,50.0,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Bad,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,Bad/Typical,Fa,BrkTil,Neutral,TA,No,Unf,0.0,Unf,0.0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,Bad/Typical,6,Typ,0,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,0,7,2008,WD,Normal,40000,3,10.596634733096073,Q1,Q1
32,20,RL,,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Average,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,Bad/Typical,TA,CBlock,Neutral,TA,No,Unf,0.0,Unf,0.0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Good/Excellent,6,Typ,0,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,149350,5,11.914047823644255,Q2,Q1
33,20,RL,85.0,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Superb,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Good/Excellent,TA,PConc,Good,TA,Av,Unf,0.0,Unf,0.0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Good/Excellent,7,Typ,0,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,179900,5,12.100156419938624,Q4,Q3
34,20,RL,70.0,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Average,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,Bad/Typical,TA,CBlock,Neutral,TA,No,Rec,1018.0,Unf,0.0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Good/Excellent,6,Typ,1,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,165500,4,12.016726473799254,Q4,Q2
35,120,RL,60.0,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Superb,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Good/Excellent,TA,PConc,Good,TA,No,GLQ,1153.0,Unf,0.0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Good/Excellent,6,Typ,1,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,277500,4,12.533576212168626,Q2,Q4
36,60,RL,108.0,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Superb,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Good/Excellent,TA,PConc,Good,TA,Av,Unf,0.0,Unf,0.0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Good/Excellent,9,Typ,1,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,309000,4,12.641096555879882,Q2,Q4
37,20,RL,112.0,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Average,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,Bad/Typical,TA,PConc,Good,TA,No,Unf,0.0,Unf,0.0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,Bad/Typical,6,Typ,0,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,145000,5,11.884489021402711,Q4,Q3
38,20,RL,74.0,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Average,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,Bad/Typical,TA,CBlock,Neutral,TA,No,Rec,1213.0,Unf,0.0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,Bad/Typical,5,Typ,1,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,153000,4,11.938193200374572,Q4,Q2
39,20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Average,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Bad/Typical,Gd,CBlock,Neutral,TA,No,GLQ,731.0,Unf,0.0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Good/Excellent,5,Typ,0,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000,5,11.59910316121128,Q4,Q2
40,90,RL,65.0,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Bad,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,Bad/Typical,TA,PConc,Bad,No Basement,No Basement,No Basement,0.0,No Basement,0.0,0,0,GasA,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Bad/Typical,6,Typ,0,No Garage,,No Garage,0,0,No Garage,No Garage,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000,15,11.314474526246391,Q3,Q1
41,20,RL,84.0,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Average,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,Bad/Typical,TA,CBlock,Neutral,TA,No,Rec,643.0,Unf,0.0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,Bad/Typical,6,Typ,1,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000,3,11.982929094215963,Q4,Q2
42,20,RL,115.0,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Average,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,Bad/Typical,Gd,CBlock,Neutral,TA,Gd,BLQ,967.0,Unf,0.0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,Bad/Typical,5,Typ,2,Attchd,1959.0,RFn,1,308,TA,TA,P,0,104,0,0,0,0,0,7,2007,WD,Normal,170000,4,12.043553716032399,Q1,Q4
43,85,RL,,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Average,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,Bad/Typical,TA,CBlock,Good,TA,Av,ALQ,747.0,LwQ,93.0,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Good/Excellent,5,Typ,0,Attchd,1983.0,RFn,2,504,TA,Gd,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,144000,5,11.877568578558138,Q2,Q2
44,20,RL,,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Average,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,Bad/Typical,TA,CBlock,Good,TA,Av,LwQ,280.0,BLQ,491.0,167,938,GasA,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,Bad/Typical,5,Typ,0,Detchd,1977.0,Unf,1,308,TA,TA,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,130250,5,11.777210959615614,Q4,Q3
45,20,RL,70.0,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Average,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,Bad/Typical,TA,CBlock,Neutral,TA,No,ALQ,179.0,BLQ,506.0,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,Bad/Typical,6,Typ,0,Attchd,1959.0,RFn,1,300,TA,TA,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,141000,5,11.856515169360305,Q4,Q2
